date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:47	50706/50706	---M--	200	added ('OK')	image/png	etag:%22e207dac1558b74a65be7f18b9d002d66-ssl%22	https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/screen-sleep-quality-dt.png	/Users/pauldurko/Desktop/ringInterstitial/offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/screen-sleep-quality-dt.png	(from https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/int2?oidsm=151&affidsm=39&source_id=342&uid=2274&oid=686&affid=342)
13:47:49	31947/31947	---M--	200	added ('OK')	image/jpeg	etag:%2253a4dd09f486c138862042b193b9f10b-ssl%22	https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/screen-sleep-heart-mb.jpg	/Users/pauldurko/Desktop/ringInterstitial/offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/screen-sleep-heart-mb.jpg	(from https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/int2?oidsm=151&affidsm=39&source_id=342&uid=2274&oid=686&affid=342)
13:47:50	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20May%202025%2017:47:49%20GMT	https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/screen-sleep-heart-mb.webp	/Users/pauldurko/Desktop/ringInterstitial/offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/screen-sleep-heart-mb.webp	(from https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/int2?oidsm=151&affidsm=39&source_id=342&uid=2274&oid=686&affid=342)
13:47:50	83798/83798	---M--	200	added ('OK')	image/png	etag:%220ed01c48ba16737639123c0f65e01a9f-ssl%22	https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/product-black-ring-mb.png	/Users/pauldurko/Desktop/ringInterstitial/offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/product-black-ring-mb.png	(from https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/int2?oidsm=151&affidsm=39&source_id=342&uid=2274&oid=686&affid=342)
13:47:52	252728/252728	---M--	200	added ('OK')	image/png	etag:%22d4f4bb3c258e317ace69777e7b756707-ssl%22	https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/product-black-ring-dt.png	/Users/pauldurko/Desktop/ringInterstitial/offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/product-black-ring-dt.png	(from https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/int2?oidsm=151&affidsm=39&source_id=342&uid=2274&oid=686&affid=342)
13:47:53	391333/391333	---M--	200	added ('OK')	image/jpeg	etag:%2254e30c5691a423361e09b9f7d0823dc7-ssl%22	https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/overview-bg-img-3-mb.jpg	/Users/pauldurko/Desktop/ringInterstitial/offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/overview-bg-img-3-mb.jpg	(from https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/int2?oidsm=151&affidsm=39&source_id=342&uid=2274&oid=686&affid=342)
13:47:55	397188/397188	---M--	200	added ('OK')	image/jpeg	etag:%221207e18e7215b9846b77968012d31bb4-ssl%22	https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/overview-bg-img-3-lg.jpg	/Users/pauldurko/Desktop/ringInterstitial/offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/overview-bg-img-3-lg.jpg	(from https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/int2?oidsm=151&affidsm=39&source_id=342&uid=2274&oid=686&affid=342)
13:47:55	589589/589589	---M--	200	added ('OK')	image/jpeg	etag:%227ba74edcc9aab35e9ccb7f75cd6c658b-ssl%22	https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/overview-bg-img-3-xl.jpg	/Users/pauldurko/Desktop/ringInterstitial/offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/overview-bg-img-3-xl.jpg	(from https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/int2?oidsm=151&affidsm=39&source_id=342&uid=2274&oid=686&affid=342)
13:47:56	17982/17982	---M--	200	added ('OK')	image/png	etag:%222be3b167bac203b784d1d397d0cd45dc-ssl%22	https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/screen-good-morning-dt.png	/Users/pauldurko/Desktop/ringInterstitial/offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/screen-good-morning-dt.png	(from https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/int2?oidsm=151&affidsm=39&source_id=342&uid=2274&oid=686&affid=342)
13:47:57	34527/34527	---M--	200	added ('OK')	image/png	etag:%221a898a3e1eef8345cf3b1c26f67f8ca0-ssl%22	https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/screen-good-morning-mb.png	/Users/pauldurko/Desktop/ringInterstitial/offer.wuzutech.com/wuzutech/herzp1smartring/en/us/images/screen-good-morning-mb.png	(from https://offer.wuzutech.com/wuzutech/herzp1smartring/en/us/int2?oidsm=151&affidsm=39&source_id=342&uid=2274&oid=686&affid=342)
